n,type,avg_time_micro
24600,nearly,2360.6
24700,random,3953.6
24700,reversed,2312
24700,nearly,2379.4
24800,random,4043.4
24800,reversed,2384
24800,nearly,2535.4
24900,random,4069.4
24900,reversed,2242.6
24900,nearly,2315.4
25000,random,4006
25000,reversed,2316.8
25000,nearly,2499.4
25100,random,4027.4
25100,reversed,2192.2
25100,nearly,2357.2
25200,random,4049.2
25200,reversed,2389.4
25200,nearly,2404.4
25300,random,4007
25300,reversed,2279.4
25300,nearly,2417
25400,random,4107
25400,reversed,2405.8
25400,nearly,2398
25500,random,4110.6
25500,reversed,2396.2
25500,nearly,2455.6
25600,random,4184.4
25600,reversed,2327.6
25600,nearly,2441.8
25700,random,4124
25700,reversed,2384.2
25700,nearly,2418
25800,random,4160.8
25800,reversed,2318.8
25800,nearly,2485
25900,random,4160
25900,reversed,2329.2
25900,nearly,2446.8
26000,random,4201.6
26000,reversed,2338.2
26000,nearly,2591.6
26100,random,4169.6
26100,reversed,2388.4
26100,nearly,2482.6
26200,random,4238.2
26200,reversed,2444.2
26200,nearly,2613.4
26300,random,4373
26300,reversed,2479.8
26300,nearly,2534
26400,random,4206.6
26400,reversed,2428.8
26400,nearly,2515.2
26500,random,4269.2
26500,reversed,2519.8
26500,nearly,2553
26600,random,4287.6
26600,reversed,2455.6
26600,nearly,2584.8
26700,random,4276.2
26700,reversed,2462.4
26700,nearly,2636.6
26800,random,4351.2
26800,reversed,2476.8
26800,nearly,2626.4
26900,random,4422
26900,reversed,2565
26900,nearly,2622.2
27000,random,4410.4
27000,reversed,2442.6
27000,nearly,2569.6
27100,random,4338.8
27100,reversed,2462.6
27100,nearly,2559
27200,random,4394.6
27200,reversed,2509.2
27200,nearly,2592.2
27300,random,4412.6
27300,reversed,2580.6
27300,nearly,2635.6
27400,random,4341.2
27400,reversed,2507.8
27400,nearly,2753.8
27500,random,4422.6
27500,reversed,2578.8
27500,nearly,2692.8
27600,random,4423.6
27600,reversed,2512.6
27600,nearly,2628.6
27700,random,4491.4
27700,reversed,2539.2
27700,nearly,2624.2
27800,random,4522.8
27800,reversed,2597.6
27800,nearly,2617
27900,random,4475.8
27900,reversed,2534.2
27900,nearly,2690
28000,random,4534.2
28000,reversed,2686.2
28000,nearly,2586.4
28100,random,4528
28100,reversed,2577.8
28100,nearly,2676.8
28200,random,4509.8
28200,reversed,2587.4
28200,nearly,2733.6
28300,random,4592.6
28300,reversed,2611.4
28300,nearly,2759.2
28400,random,4604.2
28400,reversed,2574.6
28400,nearly,2680.6
28500,random,4646.2
28500,reversed,2591.6
28500,nearly,2657.2
28600,random,4652
28600,reversed,2662
28600,nearly,2674.6
