n,type,avg_th5,avg_th10,avg_th20,avg_th30,avg_th50
13700,reversed,978.6,947.6,932.4,1101.8,1083.4
13700,nearly,828.8,801.4,801.4,785.2,765
13800,random,2005.8,1915.8,1838.4,1821.6,1820.4
13800,reversed,966.6,941.8,938,1067,1066.2
13800,nearly,846.8,828.4,817,793.6,795.4
13900,random,2028.4,1939.8,1870.4,1884.6,1848.8
13900,reversed,982.2,946.2,941.4,1058.6,1061
13900,nearly,841,830.6,795.6,759,759
14000,random,2021.8,1938,1849.8,1854.4,1832
14000,reversed,983.2,937,940.6,1073.2,1068.8
14000,nearly,821.2,814.2,818.2,809.4,808.4
14100,random,2058,1973.2,1896.8,1868.4,1875.4
14100,reversed,1005.6,991,970.2,1088.8,1081.4
14100,nearly,874.2,847.2,821.6,778,778.4
14200,random,2059.6,1966,1914.4,1894.6,1868.4
14200,reversed,1054.8,1021.6,1004.2,1117,1111.2
14200,nearly,874.6,834,822.2,794,796.4
14300,random,2084.8,2011.2,1936.8,1905.6,2176.6
14300,reversed,988,964.6,968.8,1107.6,1108.6
14300,nearly,854.8,863.8,850.4,815.6,787.8
14400,random,2086.2,1991.8,1950,1920.2,1908.4
14400,reversed,1017.2,998.8,1019.4,1171,1169.2
14400,nearly,843.8,833.8,819.8,802.8,813.6
14500,random,2122.4,2031.6,1959.2,1929.6,1910.6
14500,reversed,1021.2,983.4,980.6,1129.8,1135.8
14500,nearly,864,851.6,840.4,810,795.4
14600,random,2114.8,2019,1946,1923.4,1919.4
14600,reversed,1039.8,1013,1020,1173.4,1178.2
14600,nearly,884.4,889.8,869.2,811.8,803
14700,random,2134.6,2047,2000.4,2030.8,2028
14700,reversed,1069.4,1042,1064.4,1278.4,1282.8
14700,nearly,840.8,830.8,814.2,792.2,792.4
14800,random,2155,2057,2000.8,2003.4,2006
14800,reversed,1090.2,1060.8,1033.4,1170.6,1173.2
14800,nearly,872.2,846.6,833.8,811.4,811.2
14900,random,2156.4,2052.2,1984.2,1969.4,1965.4
14900,reversed,1033.4,1011.8,1011.6,1172,1174.2
14900,nearly,871.6,855.8,841,810.2,857
15000,random,2205.6,2092.8,2036.8,1991.8,1978.8
15000,reversed,1091.4,1075.6,1084,1243.2,1238.8
15000,nearly,919,912,898.8,876,872.8
15100,random,2204.4,2102,2036.4,2071.6,2070.2
15100,reversed,1096.8,1039.8,1050.8,1209.2,1214.6
15100,nearly,910.6,895,880.2,843.8,821.4
15200,random,2206.6,2102.4,2052.8,2080.4,2083.2
15200,reversed,1067.6,1038.8,1053.8,1293.8,1283.8
15200,nearly,940.2,963,953.2,922.4,897
15300,random,2240.8,2152.6,2083.6,2069.6,2069
15300,reversed,1090.2,1030.6,1045.4,1222.8,1226
15300,nearly,921,910.4,898.2,875.2,865.6
15400,random,2237.6,2141.4,2056.6,2051.4,2050
15400,reversed,1132,1095.4,1106,1282.4,1264.8
15400,nearly,956.2,943.2,936.6,916.8,907
15500,random,2297.8,2188.6,2086.4,2067.8,2076.8
15500,reversed,1150.2,1124.8,1079.8,1202.4,1261.8
15500,nearly,949.4,919.4,926.6,882.4,864.2
15600,random,2275.6,2174.2,2116.6,2150.6,2198.6
15600,reversed,1136.4,1090.8,1116,1283,1280.4
15600,nearly,960.8,949.6,944.2,925.6,908.6
15700,random,2275.6,2174.6,2096,2091.4,2095.4
15700,reversed,1180.8,1145.4,1145.6,1199.6,1286
15700,nearly,993.6,967.2,930.4,925,924.4
15800,random,2349.2,2214.4,2115.2,2093,2114
15800,reversed,1168.8,1133.4,1142.6,1167.4,1340.8
15800,nearly,951.6,954.8,898.4,905.2,874.2
15900,random,2313.8,2213.8,2138.2,2131,2171.6
15900,reversed,1196,1150.4,1117.8,1117.8,1307
15900,nearly,1031,1016.6,969,996.6,944.6
16000,random,2344,2239,2187.6,2189,2175.2
16000,reversed,1191.4,1142,1117.8,1117.8,1324.6
16000,nearly,970.8,961,959.2,944.2,914
16100,random,2392.6,2257.8,2188.4,2184.2,2190.4
16100,reversed,1159,1120.2,1143.4,1129.8,1352
16100,nearly,959.4,954.2,929.6,944,901
16200,random,2381.8,2272.6,2208,2173.8,2198.8
16200,reversed,1195.8,1109.4,1126.8,1114.8,1346.8
16200,nearly,1011,1001.4,983.8,989.4,917.6
16300,random,2386,2285.6,2240,2199.2,2264.8
16300,reversed,1160,1129,1170.2,1150.2,1410.2
16300,nearly,966.8,968.6,962.8,969.4,933.8
16400,random,2386.6,2287,2199.6,2183.6,2201.6
16400,reversed,1169.2,1133,1145.4,1134,1372.4
16400,nearly,1015.4,1004.8,983,985.6,933.2
16500,random,2418.4,2297.8,2216.6,2221.4,2229.2
16500,reversed,1215.6,1181.8,1213,1177,1485.8
16500,nearly,1038.6,1022.4,1006,998.2,970.8
16600,random,2433.4,2339.8,2321.4,2317.2,2416.8
16600,reversed,1225.6,1165.4,1188.2,1157.8,1397.2
16600,nearly,1051.8,1040.6,1025.2,1023.6,995.2
16700,random,2439.2,2348.6,2283.6,2240.2,2264
16700,reversed,1243.2,1213,1216.4,1228,1454.6
16700,nearly,1004.8,985.4,966.2,959.6,937
16800,random,2437.8,2367.6,2317.6,2325,2365.4
16800,reversed,1217.6,1203.4,1260.4,1272,1667
16800,nearly,1039.4,1040.2,1010.2,987.4,958.2
16900,random,2476.6,2363.4,2322,2311,2374.6
16900,reversed,1298.8,1245.2,1240.6,1200.8,1521.6
16900,nearly,1080,1044.4,1037.8,1033.8,1004
17000,random,2493.6,2394.6,2297,2306.2,2326.8
17000,reversed,1340.6,1271.2,1215.2,1225.8,1562.4
17000,nearly,1094.2,1094.2,1008.6,1023.2,1000
17100,random,2496.4,2388.2,2327,2295.8,2318.6
17100,reversed,1262.6,1179,1225.6,1206.6,1470.4
17100,nearly,1028,1022.6,993.4,999.2,973.8
17200,random,2536.6,2431.8,2370.4,2358.8,2371.6
17200,reversed,1342,1292.2,1276.4,1256.8,1483.6
17200,nearly,1064.8,1061.4,1037.4,1007.6,988.2
17300,random,2545.8,2434,2342.4,2322.8,2355
17300,reversed,1273.4,1247.2,1253,1259.8,1585
17300,nearly,1037.8,1037.8,1028.8,1023,1005.8
17400,random,2557.2,2469,2419.4,2409,2447.6
17400,reversed,1306.2,1264.6,1295.8,1305.4,1527.8
17400,nearly,1136.4,1115.6,1029.4,1036.2,1002.2
17500,random,2556,2453.2,2365.8,2367.2,2414.8
17500,reversed,1287.8,1218.2,1226.6,1226,1521.4
17500,nearly,1103.8,1078.2,1050.8,1056.4,1001
17600,random,2575.4,2472.4,2387,2389.2,2407.6
17600,reversed,1257,1217.4,1236.8,1236,1532.6
17600,nearly,1071.2,1077.8,1060.4,1064.8,1022.6
17700,random,2600.2,2479.2,2395.2,2406,2435.8
17700,reversed,1328.6,1298,1322.2,1312.4,1592
17700,nearly,1097.6,1123.4,1108.6,1034.2,1010.4
17800,random,2609.4,2506.4,2459,2447,2528.8
17800,reversed,1326,1295.6,1336,1331,1715.8
17800,nearly,1069,1049,1035.4,1031.4,999.4
17900,random,2614.6,2499.8,2428,2425.6,2512.8
17900,reversed,1331.4,1288.4,1313.2,1322.4,1618.8
17900,nearly,1077.4,1068.2,1050,1038.6,1015.4
18000,random,2642.8,2551.4,2492.2,2506.2,2511
18000,reversed,1366.6,1330.6,1350.2,1344.6,1635.2
18000,nearly,1114.4,1106.2,1086.4,1087.8,1058.2
18100,random,2660.2,2544.2,2457.8,2446,2496.8
18100,reversed,1416.4,1377.8,1350.4,1305.8,1603.8
18100,nearly,1088,1066,1047.4,1045.6,1018.4
18200,random,2671,2577.4,2514.2,2483.4,2553.4
18200,reversed,1354,1338.2,1348.8,1296.6,1700
