algorithm,dataset,size,comparisons,time_microseconds
msd_radix_quick,reversed,2300,42958,1219
msd_radix_quick,almost_sorted,2300,19712,686
msd_radix_quick,random,2400,16871,652
msd_radix_quick,reversed,2400,45152,1287
msd_radix_quick,almost_sorted,2400,20525,719
msd_radix_quick,random,2500,17730,683
msd_radix_quick,reversed,2500,46891,1343
msd_radix_quick,almost_sorted,2500,21495,757
msd_radix_quick,random,2600,18432,715
msd_radix_quick,reversed,2600,49137,1402
msd_radix_quick,almost_sorted,2600,22447,786
msd_radix_quick,random,2700,19372,749
msd_radix_quick,reversed,2700,50859,1439
msd_radix_quick,almost_sorted,2700,23335,818
msd_radix_quick,random,2800,20217,786
msd_radix_quick,reversed,2800,52876,1515
msd_radix_quick,almost_sorted,2800,24186,838
msd_radix_quick,random,2900,21078,808
msd_radix_quick,reversed,2900,55038,1559
msd_radix_quick,almost_sorted,2900,25186,880
msd_radix_quick,random,3000,22007,846
msd_radix_quick,reversed,3000,57121,1619
msd_radix_quick,almost_sorted,3000,26192,902
